scenario,attack_uid,attack_id,technique_id,temporal_delta_seconds,delta_source,correlation_window_seconds,valid_temporal_correlation,correlation_strength
SCENARIO_D,D-T0809-1,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-1,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-1,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-2,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-2,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-2,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-3,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-3,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-3,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-4,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-4,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-4,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-5,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-5,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-5,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-6,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-6,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-6,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-7,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-7,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-7,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-8,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-8,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-8,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-9,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-9,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-9,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-10,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-10,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-10,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-11,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-11,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-11,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-12,T0809,T0809,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-12,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-12,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-13,T0809,T0809,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-13,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-13,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-14,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-14,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-14,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-15,T0809,T0809,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-15,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-15,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-16,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-16,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-16,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-17,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-17,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-17,T0860,T0860,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-18,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-18,T0814,T0814,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-18,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-19,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0814-19,T0814,T0814,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0860-19,T0860,T0860,1.0,zabbix_history_validation,120.0,YES,strong
SCENARIO_D,D-T0809-20,T0809,T0809,0.0,zabbix_history_validation,120.0,YES,strong
