scenario,attack_uid,iteration,attack_id,mitre_ics,technique,target_component,start_utc,end_utc,wazuh_detected,wazuh_event_utc,wazuh_event_delta_s,zabbix_real_sampled,nearest_zabbix_sample_utc,nearest_zabbix_sample_delta_s,nearest_zabbix_host,nearest_zabbix_item,nearest_zabbix_value,correlation_window_seconds,strong_temporal_correlation,correlation_strength
SCENARIO_D,D-T0809-1,1,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:05Z,2026-05-02T19:43:06Z,YES,2026-05-02T19:43:05Z,0.0,YES,2026-05-02T19:43:05Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-2,2,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:31Z,2026-05-02T19:43:33Z,YES,2026-05-02T19:43:31Z,0.0,YES,2026-05-02T19:43:31Z,0.0,health-app,health-app latency seconds,0.00029277801513671875,120.0,YES,strong
SCENARIO_D,D-T0809-3,3,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:58Z,2026-05-02T19:44:00Z,YES,2026-05-02T19:43:58Z,0.0,YES,2026-05-02T19:43:58Z,0.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-4,4,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:44:25Z,2026-05-02T19:44:26Z,YES,2026-05-02T19:44:25Z,0.0,YES,2026-05-02T19:44:25Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-5,5,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:44:53Z,2026-05-02T19:44:55Z,YES,2026-05-02T19:44:53Z,0.0,YES,2026-05-02T19:44:53Z,0.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-6,6,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:45:24Z,2026-05-02T19:45:26Z,YES,2026-05-02T19:45:24Z,0.0,YES,2026-05-02T19:45:24Z,0.0,mqtt-broker,mqtt-broker latency seconds,0.00017523765563964844,120.0,YES,strong
SCENARIO_D,D-T0809-7,7,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:45:54Z,2026-05-02T19:45:56Z,YES,2026-05-02T19:45:54Z,0.0,YES,2026-05-02T19:45:54Z,0.0,mqtt-broker,mqtt-broker latency seconds,0.00021338462829589844,120.0,YES,strong
SCENARIO_D,D-T0809-8,8,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:46:21Z,2026-05-02T19:46:23Z,YES,2026-05-02T19:46:21Z,0.0,YES,2026-05-02T19:46:21Z,0.0,health-app,health-app latency seconds,0.0001628398895263672,120.0,YES,strong
SCENARIO_D,D-T0809-9,9,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:46:49Z,2026-05-02T19:46:51Z,YES,2026-05-02T19:46:49Z,0.0,YES,2026-05-02T19:46:49Z,0.0,mqtt-broker,mqtt-broker latency seconds,0.00017642974853515625,120.0,YES,strong
SCENARIO_D,D-T0809-10,10,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:47:16Z,2026-05-02T19:47:20Z,YES,2026-05-02T19:47:16Z,0.0,YES,2026-05-02T19:47:16Z,0.0,health-app,health-app latency seconds,0.0002574920654296875,120.0,YES,strong
SCENARIO_D,D-T0809-11,11,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:47:48Z,2026-05-02T19:47:51Z,YES,2026-05-02T19:47:48Z,0.0,YES,2026-05-02T19:47:48Z,0.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-12,12,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:48:17Z,2026-05-02T19:48:20Z,YES,2026-05-02T19:48:17Z,0.0,YES,2026-05-02T19:48:18Z,1.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-13,13,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:48:47Z,2026-05-02T19:48:50Z,YES,2026-05-02T19:48:47Z,0.0,YES,2026-05-02T19:48:48Z,1.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-14,14,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:49:15Z,2026-05-02T19:49:18Z,YES,2026-05-02T19:49:15Z,0.0,YES,2026-05-02T19:49:15Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-15,15,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:49:42Z,2026-05-02T19:49:43Z,YES,2026-05-02T19:49:42Z,0.0,YES,2026-05-02T19:49:43Z,1.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-16,16,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:50:09Z,2026-05-02T19:50:12Z,YES,2026-05-02T19:50:09Z,0.0,YES,2026-05-02T19:50:09Z,0.0,mqtt-broker,mqtt-broker latency seconds,0.00012636184692382812,120.0,YES,strong
SCENARIO_D,D-T0809-17,17,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:50:38Z,2026-05-02T19:50:40Z,YES,2026-05-02T19:50:38Z,0.0,YES,2026-05-02T19:50:38Z,0.0,mqtt-broker,mqtt-broker availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-18,18,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:51:05Z,2026-05-02T19:51:07Z,YES,2026-05-02T19:51:05Z,0.0,YES,2026-05-02T19:51:05Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0809-19,19,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:51:31Z,2026-05-02T19:51:34Z,YES,2026-05-02T19:51:31Z,0.0,YES,2026-05-02T19:51:31Z,0.0,health-app,health-app latency seconds,0.00021791458129882812,120.0,YES,strong
SCENARIO_D,D-T0809-20,20,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:52:01Z,2026-05-02T19:52:04Z,YES,2026-05-02T19:52:01Z,0.0,YES,2026-05-02T19:52:01Z,0.0,health-app,health-app latency seconds,0.00026106834411621094,120.0,YES,strong
SCENARIO_D,D-T0814-1,1,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:43:11Z,2026-05-02T19:43:13Z,YES,2026-05-02T19:43:11Z,0.0,YES,2026-05-02T19:43:11Z,0.0,health-app,health-app latency seconds,0.00015616416931152344,120.0,YES,strong
SCENARIO_D,D-T0814-2,2,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:43:38Z,2026-05-02T19:43:39Z,YES,2026-05-02T19:43:38Z,0.0,YES,2026-05-02T19:43:38Z,0.0,telemetry-api,telemetry-api latency seconds,0.0002067089080810547,120.0,YES,strong
SCENARIO_D,D-T0814-3,3,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:44:05Z,2026-05-02T19:44:06Z,YES,2026-05-02T19:44:05Z,0.0,YES,2026-05-02T19:44:05Z,0.0,health-app,health-app availability,1,120.0,YES,strong
