timestamp_utc,noise_uid,scenario,profile,iteration,event_type,severity,expected_impact,target_services,source
2026-05-03T02:47:08Z,E-LOW-1,SCENARIO_E,LOW,1,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:47:56Z,E-LOW-2,SCENARIO_E,LOW,2,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:48:43Z,E-LOW-3,SCENARIO_E,LOW,3,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:49:31Z,E-LOW-4,SCENARIO_E,LOW,4,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:50:19Z,E-LOW-5,SCENARIO_E,LOW,5,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:51:06Z,E-LOW-6,SCENARIO_E,LOW,6,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:51:54Z,E-LOW-7,SCENARIO_E,LOW,7,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:52:42Z,E-LOW-8,SCENARIO_E,LOW,8,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:53:29Z,E-LOW-9,SCENARIO_E,LOW,9,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:54:17Z,E-LOW-10,SCENARIO_E,LOW,10,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:55:05Z,E-LOW-11,SCENARIO_E,LOW,11,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:55:53Z,E-LOW-12,SCENARIO_E,LOW,12,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:56:40Z,E-LOW-13,SCENARIO_E,LOW,13,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:57:28Z,E-LOW-14,SCENARIO_E,LOW,14,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:58:16Z,E-LOW-15,SCENARIO_E,LOW,15,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:59:03Z,E-LOW-16,SCENARIO_E,LOW,16,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T02:59:51Z,E-LOW-17,SCENARIO_E,LOW,17,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:00:39Z,E-LOW-18,SCENARIO_E,LOW,18,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:01:27Z,E-LOW-19,SCENARIO_E,LOW,19,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:02:14Z,E-LOW-20,SCENARIO_E,LOW,20,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:03:02Z,E-MEDIUM-1,SCENARIO_E,MEDIUM,1,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:03:50Z,E-MEDIUM-2,SCENARIO_E,MEDIUM,2,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:04:38Z,E-MEDIUM-3,SCENARIO_E,MEDIUM,3,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:05:25Z,E-MEDIUM-4,SCENARIO_E,MEDIUM,4,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:06:13Z,E-MEDIUM-5,SCENARIO_E,MEDIUM,5,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
2026-05-03T03:07:01Z,E-MEDIUM-6,SCENARIO_E,MEDIUM,6,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",local_ndjson_batch
