timestamp_utc,scenario,attack_uid,iteration,attack_id,mitre_ics,target_component,host,item,key,itemid,value_type,history_clock,history_utc,history_value,sample_delta_s,correlation_window_seconds
2026-05-02T19:41:08Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750868,2026-05-02T19:41:08Z,1,117.0,120.0
2026-05-02T19:41:13Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750873,2026-05-02T19:41:13Z,1,112.0,120.0
2026-05-02T19:41:18Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750878,2026-05-02T19:41:18Z,1,107.0,120.0
2026-05-02T19:41:23Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750883,2026-05-02T19:41:23Z,1,102.0,120.0
2026-05-02T19:41:28Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750888,2026-05-02T19:41:28Z,1,97.0,120.0
2026-05-02T19:41:33Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750893,2026-05-02T19:41:33Z,1,92.0,120.0
2026-05-02T19:41:38Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750898,2026-05-02T19:41:38Z,1,87.0,120.0
2026-05-02T19:41:43Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750903,2026-05-02T19:41:43Z,1,82.0,120.0
2026-05-02T19:41:48Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750908,2026-05-02T19:41:48Z,1,77.0,120.0
2026-05-02T19:41:53Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750913,2026-05-02T19:41:53Z,1,72.0,120.0
2026-05-02T19:41:58Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750918,2026-05-02T19:41:58Z,1,67.0,120.0
2026-05-02T19:42:03Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750923,2026-05-02T19:42:03Z,1,62.0,120.0
2026-05-02T19:42:08Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750928,2026-05-02T19:42:08Z,1,57.0,120.0
2026-05-02T19:42:13Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,mosquitto,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,1777750933,2026-05-02T19:42:13Z,1,52.0,120.0
