timestamp_utc,type,namespace,name,cpu,memory,cpu_percent,memory_percent
2026-05-02T02:14:59Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T02:14:59Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T02:14:59Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,5m,0Mi,,
2026-05-02T02:14:59Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T02:14:59Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T02:14:59Z,node,,iiot-lab-k8s,209m,2255Mi,2%,14%
2026-05-02T02:15:01Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T02:15:01Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T02:15:01Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,5m,0Mi,,
2026-05-02T02:15:01Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T02:15:01Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T02:15:01Z,node,,iiot-lab-k8s,209m,2255Mi,2%,14%
2026-05-02T02:15:03Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T02:15:03Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T02:15:03Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,5m,0Mi,,
2026-05-02T02:15:03Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T02:15:03Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T02:15:03Z,node,,iiot-lab-k8s,209m,2255Mi,2%,14%
