timestamp_utc,type,namespace,name,cpu,memory,cpu_percent,memory_percent
2026-05-02T03:33:35Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T03:33:35Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T03:33:35Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,6m,0Mi,,
2026-05-02T03:33:35Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T03:33:35Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T03:33:35Z,node,,iiot-lab-k8s,254m,2607Mi,3%,16%
2026-05-02T03:33:37Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T03:33:37Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T03:33:37Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,5m,0Mi,,
2026-05-02T03:33:37Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T03:33:37Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T03:33:37Z,node,,iiot-lab-k8s,289m,2558Mi,3%,16%
2026-05-02T03:33:40Z,pod,iiot-poc,health-app-54d5c8f644-p8bdq,1m,13Mi,,
2026-05-02T03:33:40Z,pod,iiot-poc,mosquitto-5bf84bf7cb-ngxsd,1m,1Mi,,
2026-05-02T03:33:40Z,pod,iiot-poc,sensor-simulator-58b4bbcc76-hhp62,5m,0Mi,,
2026-05-02T03:33:40Z,pod,iiot-poc,telemetry-api-5d4cfb7ff4-9lkm2,1m,13Mi,,
2026-05-02T03:33:40Z,pod,iiot-poc,vulnerable-app-5dd9b48766-jxttn,1m,13Mi,,
2026-05-02T03:33:40Z,node,,iiot-lab-k8s,289m,2558Mi,3%,16%
