timestamp_utc,host,item,key,lastvalue,lastclock
2026-05-02T03:33:35.841450+00:00,health-app,health-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:35.841450+00:00,health-app,health-app latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:35.841450+00:00,mqtt-broker,mqtt-broker availability,net.tcp.service[tcp  1883],0,0
2026-05-02T03:33:35.841450+00:00,mqtt-broker,mqtt-broker latency seconds,net.tcp.service.perf[tcp  1883],0,0
2026-05-02T03:33:35.841450+00:00,telemetry-api,telemetry-api availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:35.841450+00:00,telemetry-api,telemetry-api latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:35.841450+00:00,vulnerable-app,vulnerable-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:35.841450+00:00,vulnerable-app,vulnerable-app latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,health-app,health-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,health-app,health-app latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,mqtt-broker,mqtt-broker availability,net.tcp.service[tcp  1883],0,0
2026-05-02T03:33:37.875972+00:00,mqtt-broker,mqtt-broker latency seconds,net.tcp.service.perf[tcp  1883],0,0
2026-05-02T03:33:37.875972+00:00,telemetry-api,telemetry-api availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,telemetry-api,telemetry-api latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,vulnerable-app,vulnerable-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:37.875972+00:00,vulnerable-app,vulnerable-app latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,health-app,health-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,health-app,health-app latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,mqtt-broker,mqtt-broker availability,net.tcp.service[tcp  1883],0,0
2026-05-02T03:33:39.979942+00:00,mqtt-broker,mqtt-broker latency seconds,net.tcp.service.perf[tcp  1883],0,0
2026-05-02T03:33:39.979942+00:00,telemetry-api,telemetry-api availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,telemetry-api,telemetry-api latency seconds,net.tcp.service.perf[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,vulnerable-app,vulnerable-app availability,net.tcp.service[http  8080],0,0
2026-05-02T03:33:39.979942+00:00,vulnerable-app,vulnerable-app latency seconds,net.tcp.service.perf[http  8080],0,0
