NAMESPACE        NAME                                      CPU(cores)   MEMORY(bytes)   
iiot-poc         health-app-54d5c8f644-p8bdq               1m           13Mi            
iiot-poc         mosquitto-5bf84bf7cb-ngxsd                1m           1Mi             
iiot-poc         sensor-simulator-58b4bbcc76-hhp62         6m           0Mi             
iiot-poc         telemetry-api-5d4cfb7ff4-9lkm2            1m           13Mi            
iiot-poc         vulnerable-app-5dd9b48766-jxttn           1m           13Mi            
ingress          nginx-ingress-microk8s-controller-p68v6   2m           103Mi           
kube-system      calico-kube-controllers-796fb75cc-g2lbv   1m           13Mi            
kube-system      calico-node-slzhr                         21m          68Mi            
kube-system      coredns-5986966c54-r2jd5                  5m           16Mi            
kube-system      hostpath-provisioner-7c8bdf94b8-8pqn9     2m           10Mi            
kube-system      metrics-server-7cff7889bd-cj2cp           3m           17Mi            
metallb-system   controller-bf8d56555-crjr6                1m           16Mi            
metallb-system   speaker-gq77h                             3m           18Mi            
monitoring       zabbix-agent-dnb2c                        1m           9Mi             
monitoring       zabbix-postgres-58f59dcd95-n89h9          13m          158Mi           
monitoring       zabbix-server-b5fb4666f-rfgmv             4m           108Mi           
monitoring       zabbix-web-897d6bc-rvr44                  5m           71Mi            
