scenario,attack_uid,iteration,attack_id,mitre_ics,technique,target_component,start_utc,end_utc,wazuh_detected,wazuh_event_count,zabbix_samples,zabbix_degraded,http_error_observed,http_pre_latency_avg_s,http_post_latency_avg_s,http_latency_delta_s,correlation_window_seconds,correlation_strength
SCENARIO_D,D-T0809-1,1,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T16:56:14Z,2026-05-02T16:56:16Z,YES,1,8,YES,NO,0.000568,0.00062,5.2e-05,120,strong
SCENARIO_D,D-T0814-1,1,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T16:56:18Z,2026-05-02T16:56:21Z,YES,1,8,YES,NO,0.000673,0.000544,-0.000129,120,strong
SCENARIO_D,D-T0860-1,1,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T16:56:23Z,2026-05-02T16:56:24Z,YES,1,8,YES,NO,0.000683,0.000902,0.000219,120,strong
SCENARIO_D,D-T0809-2,2,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T16:56:26Z,2026-05-02T16:56:28Z,YES,1,8,YES,NO,0.000623,0.000644,2.1e-05,120,strong
SCENARIO_D,D-T0814-2,2,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T16:56:30Z,2026-05-02T16:56:32Z,YES,1,8,YES,NO,0.000554,0.000571,1.7e-05,120,strong
SCENARIO_D,D-T0860-2,2,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T16:56:34Z,2026-05-02T16:56:35Z,YES,1,8,YES,NO,0.00055,0.00065,0.0001,120,strong
SCENARIO_D,D-T0809-3,3,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T16:56:37Z,2026-05-02T16:56:39Z,YES,1,8,YES,NO,0.000739,0.000598,-0.000141,120,strong
SCENARIO_D,D-T0814-3,3,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T16:56:41Z,2026-05-02T16:56:44Z,YES,1,8,YES,NO,0.000583,0.000647,6.4e-05,120,strong
SCENARIO_D,D-T0860-3,3,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T16:56:46Z,2026-05-02T16:56:46Z,YES,1,8,YES,NO,0.000529,0.000426,-0.000103,120,strong
SCENARIO_D,D-T0809-4,4,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T16:56:48Z,2026-05-02T16:56:51Z,YES,1,8,YES,NO,0.000638,0.000572,-6.6e-05,120,strong
SCENARIO_D,D-T0814-4,4,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T16:56:53Z,2026-05-02T16:56:55Z,YES,1,8,YES,NO,0.000753,0.000617,-0.000136,120,strong
SCENARIO_D,D-T0860-4,4,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T16:56:57Z,2026-05-02T16:56:57Z,YES,1,8,YES,NO,0.000707,0.000357,-0.00035,120,strong
SCENARIO_D,D-T0809-5,5,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T16:56:59Z,2026-05-02T16:57:02Z,YES,1,8,YES,NO,0.000718,0.000703,-1.5e-05,120,strong
SCENARIO_D,D-T0814-5,5,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T16:57:04Z,2026-05-02T16:57:06Z,YES,1,8,YES,NO,0.000769,0.000593,-0.000176,120,strong
SCENARIO_D,D-T0860-5,5,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T16:57:08Z,2026-05-02T16:57:09Z,YES,1,8,YES,NO,0.000563,0.00057,7e-06,120,strong
