attack_uid,host,item,key,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock
D-T0809-1,health-app,health-app availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,health-app,health-app latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,mqtt-broker,mqtt-broker availability,net.tcp.service[tcp  1883],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,mqtt-broker,mqtt-broker latency seconds,net.tcp.service.perf[tcp  1883],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,telemetry-api,telemetry-api availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,telemetry-api,telemetry-api latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,vulnerable-app,vulnerable-app availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0809-1,vulnerable-app,vulnerable-app latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,health-app,health-app availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,health-app,health-app latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,mqtt-broker,mqtt-broker availability,net.tcp.service[tcp  1883],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,mqtt-broker,mqtt-broker latency seconds,net.tcp.service.perf[tcp  1883],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,telemetry-api,telemetry-api availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,telemetry-api,telemetry-api latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,vulnerable-app,vulnerable-app availability,net.tcp.service[http  8080],1,0.0,0.0,0.0,0.0,0,0
D-T0814-1,vulnerable-app,vulnerable-app latency seconds,net.tcp.service.perf[http  8080],1,0.0,0.0,0.0,0.0,0,0
