scenario,attack_uid,iteration,attack_id,mitre_ics,technique,target_component,target_zabbix_host,start_utc,end_utc,wazuh_detected,wazuh_event_count,zabbix_real_samples_target,zabbix_real_samples_all_hosts,nearest_zabbix_sample_delta_seconds,zabbix_degraded,http_error_observed,http_pre_latency_avg_s,http_post_latency_avg_s,http_latency_delta_s,correlation_window_seconds,correlation_strength,zabbix_source
SCENARIO_D,D-T0809-1,1,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:43:05Z,2026-05-02T19:43:06Z,YES,5,318,1273,1,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-1,1,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:43:11Z,2026-05-02T19:43:13Z,YES,5,316,1264,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-1,1,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:43:18Z,2026-05-02T19:43:21Z,YES,3,314,1254,1,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-2,2,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:43:31Z,2026-05-02T19:43:33Z,YES,3,308,1232,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-2,2,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:43:38Z,2026-05-02T19:43:39Z,YES,3,305,1222,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-2,2,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:43:44Z,2026-05-02T19:43:48Z,YES,3,304,1212,0,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-3,3,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:43:58Z,2026-05-02T19:44:00Z,YES,3,298,1190,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-3,3,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:44:05Z,2026-05-02T19:44:06Z,YES,3,294,1178,1,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-3,3,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:44:11Z,2026-05-02T19:44:15Z,YES,3,292,1168,0,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-4,4,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:44:25Z,2026-05-02T19:44:26Z,YES,3,286,1146,1,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-4,4,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:44:31Z,2026-05-02T19:44:33Z,YES,3,284,1137,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-4,4,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:44:38Z,2026-05-02T19:44:43Z,YES,3,282,1128,1,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-5,5,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:44:53Z,2026-05-02T19:44:55Z,YES,3,276,1104,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-5,5,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:45:00Z,2026-05-02T19:45:03Z,YES,3,273,1092,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-5,5,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:45:08Z,2026-05-02T19:45:14Z,YES,3,270,1080,0,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-6,6,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:45:24Z,2026-05-02T19:45:26Z,YES,2,263,1054,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-6,6,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:45:31Z,2026-05-02T19:45:35Z,YES,2,261,1042,1,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-6,6,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:45:40Z,2026-05-02T19:45:44Z,YES,2,257,1028,0,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-7,7,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:45:54Z,2026-05-02T19:45:56Z,YES,2,251,1006,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-7,7,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:46:01Z,2026-05-02T19:46:03Z,YES,2,250,995,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-7,7,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:46:08Z,2026-05-02T19:46:11Z,YES,2,246,986,1,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-8,8,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:46:21Z,2026-05-02T19:46:23Z,YES,2,241,964,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-8,8,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:46:28Z,2026-05-02T19:46:30Z,YES,2,239,954,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-8,8,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:46:35Z,2026-05-02T19:46:39Z,YES,2,235,942,0,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-9,9,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:46:49Z,2026-05-02T19:46:51Z,YES,2,230,921,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0814-9,9,T0814,T0814,Data Manipulation,telemetry-api,telemetry-api,2026-05-02T19:46:56Z,2026-05-02T19:46:58Z,YES,2,228,910,0,NO,NO,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0860-9,9,T0860,T0860,Denial of Service,vulnerable-app,vulnerable-app,2026-05-02T19:47:03Z,2026-05-02T19:47:06Z,YES,2,225,900,1,NO,YES,0.0,0.0,0.0,120,strong,history.get
SCENARIO_D,D-T0809-10,10,T0809,T0809,Unauthorized Command Message,mosquitto,mqtt-broker,2026-05-02T19:47:16Z,2026-05-02T19:47:20Z,YES,2,220,878,1,NO,NO,0.0,0.0,0.0,120,strong,history.get
