timestamp_utc,attack_uid,attack_id,mitre_ics,component,event_type,source
2026-05-02T16:56:14Z,D-T0809-1,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T16:56:18Z,D-T0814-1,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T16:56:23Z,D-T0860-1,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T16:56:26Z,D-T0809-2,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T16:56:30Z,D-T0814-2,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T16:56:34Z,D-T0860-2,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T16:56:37Z,D-T0809-3,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T16:56:41Z,D-T0814-3,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T16:56:46Z,D-T0860-3,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T16:56:48Z,D-T0809-4,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T16:56:53Z,D-T0814-4,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T16:56:57Z,D-T0860-4,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T16:56:59Z,D-T0809-5,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T16:57:04Z,D-T0814-5,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T16:57:08Z,D-T0860-5,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:05:07Z,D-T0809-1,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:05:24Z,D-T0814-1,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:05:39Z,D-T0860-1,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:06:20Z,D-T0809-2,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:06:36Z,D-T0814-2,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:06:52Z,D-T0860-2,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:07:32Z,D-T0809-3,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:07:51Z,D-T0814-3,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:08:08Z,D-T0860-3,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:08:53Z,D-T0809-4,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:09:11Z,D-T0814-4,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:09:30Z,D-T0860-4,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:10:15Z,D-T0809-5,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:10:34Z,D-T0814-5,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:10:50Z,D-T0860-5,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:11:33Z,D-T0809-6,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:11:51Z,D-T0814-6,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:12:10Z,D-T0860-6,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:12:52Z,D-T0809-7,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:13:11Z,D-T0814-7,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:13:29Z,D-T0860-7,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:14:12Z,D-T0809-8,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:14:30Z,D-T0814-8,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:14:48Z,D-T0860-8,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
