attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0809-1,mqtt-broker,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,159,1.0,1.0,1.0,1.0,1777750865,1777751655,2026-05-02T19:41:05Z,2026-05-02T19:54:15Z,history.get
D-T0809-1,mqtt-broker,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,159,0.0001,0.000206,0.0003783702850341797,0.0001995563507080078,1777750866,1777751656,2026-05-02T19:41:06Z,2026-05-02T19:54:16Z,history.get
D-T0809-1,mqtt-broker,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,159,1.0,1.0,1.0,1.0,1777750868,1777751658,2026-05-02T19:41:08Z,2026-05-02T19:54:18Z,history.get
D-T0809-1,mqtt-broker,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,159,0.0001,0.000175,0.00036716461181640625,0.0001881122589111328,1777750869,1777751659,2026-05-02T19:41:09Z,2026-05-02T19:54:19Z,history.get
D-T0809-1,mqtt-broker,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,159,1.0,1.0,1.0,1.0,1777750867,1777751657,2026-05-02T19:41:07Z,2026-05-02T19:54:17Z,history.get
D-T0809-1,mqtt-broker,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,159,0.0001,0.000166,0.0003979206085205078,0.00016999244689941406,1777750868,1777751658,2026-05-02T19:41:08Z,2026-05-02T19:54:18Z,history.get
D-T0809-1,mqtt-broker,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,159,1.0,1.0,1.0,1.0,1777750869,1777751659,2026-05-02T19:41:09Z,2026-05-02T19:54:19Z,history.get
D-T0809-1,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,160,0.0001,0.000178,0.0002932548522949219,0.00015783309936523438,1777750865,1777751660,2026-05-02T19:41:05Z,2026-05-02T19:54:20Z,history.get
D-T0814-1,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,158,1.0,1.0,1.0,1.0,1777750875,1777751660,2026-05-02T19:41:15Z,2026-05-02T19:54:20Z,history.get
D-T0814-1,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,158,0.0001,0.000206,0.0003783702850341797,0.0001995563507080078,1777750871,1777751656,2026-05-02T19:41:11Z,2026-05-02T19:54:16Z,history.get
