timestamp_utc,noise_uid,scenario,profile,iteration,noise_type,intensity,duration_seconds,frequency,target_services,expected_impact,start_utc,end_utc,http_urls
2026-05-03T02:47:08Z,E-LOW-1,SCENARIO_E,LOW,1,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:47:08Z,2026-05-03T02:47:38Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:47:56Z,E-LOW-2,SCENARIO_E,LOW,2,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:47:56Z,2026-05-03T02:48:26Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:48:43Z,E-LOW-3,SCENARIO_E,LOW,3,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:48:43Z,2026-05-03T02:49:13Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:49:31Z,E-LOW-4,SCENARIO_E,LOW,4,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:49:31Z,2026-05-03T02:50:01Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:50:19Z,E-LOW-5,SCENARIO_E,LOW,5,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:50:19Z,2026-05-03T02:50:49Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:51:06Z,E-LOW-6,SCENARIO_E,LOW,6,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:51:06Z,2026-05-03T02:51:36Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:51:54Z,E-LOW-7,SCENARIO_E,LOW,7,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:51:54Z,2026-05-03T02:52:24Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:52:42Z,E-LOW-8,SCENARIO_E,LOW,8,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:52:42Z,2026-05-03T02:53:12Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:53:29Z,E-LOW-9,SCENARIO_E,LOW,9,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:53:29Z,2026-05-03T02:53:59Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
2026-05-03T02:54:17Z,E-LOW-10,SCENARIO_E,LOW,10,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T02:54:17Z,2026-05-03T02:54:47Z,"http://10.10.0.152:8080/health,http://10.10.0.153:8080/health,http://10.10.0.153:8080/metrics,http://10.10.0.153:8080/telemetry,http://10.10.0.154:8080/health"
