timestamp_utc,noise_uid,profile,iteration,mqtt_host,mqtt_port,topic,messages_attempted,messages_success,messages_failed,legitimate_publish
2026-05-03T02:47:46Z,E-LOW-1,LOW,1,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:48:33Z,E-LOW-2,LOW,2,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:49:21Z,E-LOW-3,LOW,3,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:50:09Z,E-LOW-4,LOW,4,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:50:56Z,E-LOW-5,LOW,5,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:51:44Z,E-LOW-6,LOW,6,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:52:32Z,E-LOW-7,LOW,7,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:53:19Z,E-LOW-8,LOW,8,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:54:07Z,E-LOW-9,LOW,9,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:54:55Z,E-LOW-10,LOW,10,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:55:43Z,E-LOW-11,LOW,11,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:56:30Z,E-LOW-12,LOW,12,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:57:18Z,E-LOW-13,LOW,13,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:58:06Z,E-LOW-14,LOW,14,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:58:53Z,E-LOW-15,LOW,15,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T02:59:41Z,E-LOW-16,LOW,16,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T03:00:29Z,E-LOW-17,LOW,17,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T03:01:17Z,E-LOW-18,LOW,18,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T03:02:04Z,E-LOW-19,LOW,19,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T03:02:52Z,E-LOW-20,LOW,20,10.10.0.151,1883,sensors/legitimate/low,20,20,0,YES
2026-05-03T03:03:40Z,E-MEDIUM-1,MEDIUM,1,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:04:28Z,E-MEDIUM-2,MEDIUM,2,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:05:15Z,E-MEDIUM-3,MEDIUM,3,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:06:03Z,E-MEDIUM-4,MEDIUM,4,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:06:51Z,E-MEDIUM-5,MEDIUM,5,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:07:39Z,E-MEDIUM-6,MEDIUM,6,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:08:27Z,E-MEDIUM-7,MEDIUM,7,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:09:15Z,E-MEDIUM-8,MEDIUM,8,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:10:02Z,E-MEDIUM-9,MEDIUM,9,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:10:50Z,E-MEDIUM-10,MEDIUM,10,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:11:38Z,E-MEDIUM-11,MEDIUM,11,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:12:26Z,E-MEDIUM-12,MEDIUM,12,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:13:14Z,E-MEDIUM-13,MEDIUM,13,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:14:01Z,E-MEDIUM-14,MEDIUM,14,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:14:49Z,E-MEDIUM-15,MEDIUM,15,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:15:37Z,E-MEDIUM-16,MEDIUM,16,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:16:25Z,E-MEDIUM-17,MEDIUM,17,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:17:13Z,E-MEDIUM-18,MEDIUM,18,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:18:00Z,E-MEDIUM-19,MEDIUM,19,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:18:48Z,E-MEDIUM-20,MEDIUM,20,10.10.0.151,1883,sensors/legitimate/medium,40,40,0,YES
2026-05-03T03:19:38Z,E-HIGH-1,HIGH,1,10.10.0.151,1883,sensors/legitimate/high,80,80,0,YES
2026-05-03T03:20:27Z,E-HIGH-2,HIGH,2,10.10.0.151,1883,sensors/legitimate/high,80,80,0,YES
