scenario,attack_uid,iteration,attack_id,mitre_ics,technique,target_component,start_utc,end_utc,duration_s,parameters,status
SCENARIO_D,D-T0809-1,1,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:05Z,2026-05-02T19:43:06Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-1,1,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:43:11Z,2026-05-02T19:43:13Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-1,1,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:43:18Z,2026-05-02T19:43:21Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-2,2,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:31Z,2026-05-02T19:43:33Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-2,2,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:43:38Z,2026-05-02T19:43:39Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-2,2,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:43:44Z,2026-05-02T19:43:48Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-3,3,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:43:58Z,2026-05-02T19:44:00Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-3,3,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:44:05Z,2026-05-02T19:44:06Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-3,3,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:44:11Z,2026-05-02T19:44:15Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-4,4,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:44:25Z,2026-05-02T19:44:26Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-4,4,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:44:31Z,2026-05-02T19:44:33Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-4,4,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:44:38Z,2026-05-02T19:44:43Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-5,5,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:44:53Z,2026-05-02T19:44:55Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-5,5,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:45:00Z,2026-05-02T19:45:03Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-5,5,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:45:08Z,2026-05-02T19:45:14Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-6,6,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:45:24Z,2026-05-02T19:45:26Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-6,6,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:45:31Z,2026-05-02T19:45:35Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-6,6,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:45:40Z,2026-05-02T19:45:44Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-7,7,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:45:54Z,2026-05-02T19:45:56Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-7,7,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:46:01Z,2026-05-02T19:46:03Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-7,7,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:46:08Z,2026-05-02T19:46:11Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-8,8,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:46:21Z,2026-05-02T19:46:23Z,5,tcp_probe_10.10.0.151:1883,executed
SCENARIO_D,D-T0814-8,8,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:46:28Z,2026-05-02T19:46:30Z,5,http_probe_http://10.10.0.153:8080/,executed
SCENARIO_D,D-T0860-8,8,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:46:35Z,2026-05-02T19:46:39Z,30,requests=500;concurrency=30,executed
SCENARIO_D,D-T0809-9,9,T0809,T0809,Unauthorized Command Message,mosquitto,2026-05-02T19:46:49Z,2026-05-02T19:46:51Z,5,tcp_probe_10.10.0.151:1883,executed
