timestamp_utc,noise_uid,scenario,profile,iteration,noise_type,intensity,duration_seconds,frequency,target_services,expected_impact,start_utc,end_utc
2026-05-03T01:22:30Z,E-LOW-1,SCENARIO_E,LOW,1,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:22:30Z,2026-05-03T01:23:00Z
2026-05-03T01:23:18Z,E-LOW-2,SCENARIO_E,LOW,2,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:23:18Z,2026-05-03T01:23:48Z
2026-05-03T01:24:06Z,E-LOW-3,SCENARIO_E,LOW,3,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:24:06Z,2026-05-03T01:24:36Z
2026-05-03T01:24:55Z,E-LOW-4,SCENARIO_E,LOW,4,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:24:55Z,2026-05-03T01:25:25Z
2026-05-03T01:25:43Z,E-LOW-5,SCENARIO_E,LOW,5,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:25:43Z,2026-05-03T01:26:13Z
2026-05-03T01:26:31Z,E-LOW-6,SCENARIO_E,LOW,6,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:26:31Z,2026-05-03T01:27:01Z
2026-05-03T01:27:19Z,E-LOW-7,SCENARIO_E,LOW,7,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:27:19Z,2026-05-03T01:27:49Z
2026-05-03T01:28:07Z,E-LOW-8,SCENARIO_E,LOW,8,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:28:07Z,2026-05-03T01:28:37Z
2026-05-03T01:28:55Z,E-LOW-9,SCENARIO_E,LOW,9,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:28:55Z,2026-05-03T01:29:25Z
2026-05-03T01:29:43Z,E-LOW-10,SCENARIO_E,LOW,10,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:29:43Z,2026-05-03T01:30:13Z
2026-05-03T01:30:31Z,E-LOW-11,SCENARIO_E,LOW,11,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:30:31Z,2026-05-03T01:31:01Z
2026-05-03T01:31:19Z,E-LOW-12,SCENARIO_E,LOW,12,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:31:19Z,2026-05-03T01:31:49Z
2026-05-03T01:32:07Z,E-LOW-13,SCENARIO_E,LOW,13,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:32:07Z,2026-05-03T01:32:37Z
2026-05-03T01:32:55Z,E-LOW-14,SCENARIO_E,LOW,14,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:32:55Z,2026-05-03T01:33:25Z
2026-05-03T01:33:43Z,E-LOW-15,SCENARIO_E,LOW,15,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:33:43Z,2026-05-03T01:34:13Z
2026-05-03T01:34:31Z,E-LOW-16,SCENARIO_E,LOW,16,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:34:31Z,2026-05-03T01:35:01Z
2026-05-03T01:35:19Z,E-LOW-17,SCENARIO_E,LOW,17,mixed_operational_noise,low,30,http_interval_2s_mqtt_messages_20,"health-app;telemetry-api;vulnerable-app;mqtt-broker",benign_no_attack,2026-05-03T01:35:19Z,2026-05-03T01:35:49Z
